site_weather_collection_time,site_date,site_name,site_location,site_co_ordinate_longitude,site_co_ordinate_latitude,site_id,site_weather_id,site_main_temp,site_main_pressure,site_main_humidity,site_main_temp_min,site_main_temp_max,site_wind_speed,site_wind_deg,site_clouds_all,site_sys_id,site_sys_message,site_sys_sunrise,site_sys_sunset,site_weather_description,site_weather_main,site_weather_icon
1560506181,6/14/2019,ADMAOPCO-Site12GU235Rig02,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560506181,6/14/2019,ADMAOPCO-Site13AlHailRig05,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560506181,6/14/2019,ADMAOPCO-Site14AlHudairiyatRig06,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560506181,6/14/2019,ADMAOPCO-Site26VivekanadaRig,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560506181,6/14/2019,ADNOC-AD03ALITTIHAD,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560506181,6/14/2019,ADNOC-AD12YEMILLAH,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560506181,6/14/2019,ADNOC-AD18BEYNOUNA,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560506181,6/14/2019,ADNOC-AD37ALGHEWIFAT,Dubayy,55,25,292224,803,41.69,999,18,39,45,5.7,230,66,7539,0.0052,1560475796,1560525031,broken clouds,Clouds,04d
1560430728,6/13/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,45.81,996.1,14,45.81,45.81,5.85,340.347,67,,0.0046,1560389884,1560438743,broken clouds,Clouds,04d
1560427127,6/13/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,45.81,996.1,14,45.81,45.81,5.85,340.347,67,,0.0053,1560389884,1560438743,broken clouds,Clouds,04d
1560423527,6/13/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,45.81,996.1,14,45.81,45.81,5.85,340.347,67,,0.0068,1560389884,1560438743,broken clouds,Clouds,04d
1560610738,6/15/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,39.98,998.07,12,39.98,39.98,5.33,338.019,67,,0.0047,1560562695,1560611581,broken clouds,Clouds,04d
1560614329,6/15/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,39.98,998.07,12,39.98,39.98,5.33,338.019,67,,0.005,1560562695,1560611581,broken clouds,Clouds,04n
1560607138,6/15/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,39.98,998.07,12,39.98,39.98,5.33,338.019,67,,0.0071,1560562695,1560611581,broken clouds,Clouds,04d
1560657531,6/16/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,30.55,999.7,55,30.55,30.55,3.36,329.809,67,,0.0047,1560649101,1560697998,broken clouds,Clouds,04d
1560653937,6/16/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,30.55,999.7,55,30.55,30.55,3.36,329.809,67,,0.0056,1560649101,1560697998,broken clouds,Clouds,04d
1560650330,6/16/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,30.55,999.7,55,30.55,30.55,3.36,329.809,67,,0.0067,1560649101,1560697998,broken clouds,Clouds,04d
1560848311,6/18/2019,ADNOC-AD17,Z?uwayhir,53,23,290400,803,45.91,999.92,9,45.91,45.91,13.32,352.34,67,,0.0051,1560821992,1560870905,broken clouds,Clouds,04d
1560851910,6/18/2019,ADNOC-AD17,Z?uwayhir,53,23,290400,803,45.91,999.92,9,45.91,45.91,13.32,352.34,67,,0.0055,1560821992,1560870905,broken clouds,Clouds,04d
1560844711,6/18/2019,ADNOC-AD17,Z?uwayhir,53,23,290400,803,45.91,999.92,9,45.91,45.91,13.32,352.34,67,,0.0058,1560821992,1560870905,broken clouds,Clouds,04d
1560858975,6/18/2019,ADCO-SHAHx2G246Site01,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0064,1560822162,1560870922,broken clouds,Clouds,04d
1560862575,6/18/2019,ADCO-SHAHx2G246Site01,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0079,1560822162,1560870922,broken clouds,Clouds,04d
1560858975,6/18/2019,ADNOC-AD09,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0064,1560822162,1560870922,broken clouds,Clouds,04d
1560862575,6/18/2019,ADNOC-AD09,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0079,1560822162,1560870922,broken clouds,Clouds,04d
1560858975,6/18/2019,ADNOC-AD24,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0064,1560822162,1560870922,broken clouds,Clouds,04d
1560858975,6/18/2019,ADNOC-AD53,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0064,1560822162,1560870922,broken clouds,Clouds,04d
1560858975,6/18/2019,ADNOC-AD55,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0064,1560822162,1560870922,broken clouds,Clouds,04d
1560858975,6/18/2019,ADNOC-AD58,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0064,1560822162,1560870922,broken clouds,Clouds,04d
1560858975,6/18/2019,ADNOC-AD61,Z?uwayhir,53,23,290400,803,46.53,998.48,6,46.53,46.53,13.55,355.182,67,,0.0064,1560822162,1560870922,broken clouds,Clouds,04d
1560898711,6/19/2019,ADNOC-AD17,Z?uwayhir,53,23,290400,803,33.32,998.27,36,33.32,33.32,5.59,326.816,67,,0.005,1560908401,1560957320,broken clouds,Clouds,04n
1561229781,6/22/2019,ADCO-SHAHx2G246Site01,Z?uwayhir,53,23,290400,803,36.53,1001.2,33,36.53,36.53,4.98,10.047,67,,0.006,1561167805,1561216576,broken clouds,Clouds,04n
1561229781,6/22/2019,ADNOC-AD09,Z?uwayhir,53,23,290400,803,36.53,1001.2,33,36.53,36.53,4.98,10.047,67,,0.006,1561167805,1561216576,broken clouds,Clouds,04n
1561229781,6/22/2019,ADNOC-AD24,Z?uwayhir,53,23,290400,803,36.53,1001.2,33,36.53,36.53,4.98,10.047,67,,0.006,1561167805,1561216576,broken clouds,Clouds,04n
1561229781,6/22/2019,ADNOC-AD53,Z?uwayhir,53,23,290400,803,36.53,1001.2,33,36.53,36.53,4.98,10.047,67,,0.006,1561167805,1561216576,broken clouds,Clouds,04n
1561229781,6/22/2019,ADNOC-AD55,Z?uwayhir,53,23,290400,803,36.53,1001.2,33,36.53,36.53,4.98,10.047,67,,0.006,1561167805,1561216576,broken clouds,Clouds,04n
1561229781,6/22/2019,ADNOC-AD58,Z?uwayhir,53,23,290400,803,36.53,1001.2,33,36.53,36.53,4.98,10.047,67,,0.006,1561167805,1561216576,broken clouds,Clouds,04n
1561229781,6/22/2019,ADNOC-AD61,Z?uwayhir,53,23,290400,803,36.53,1001.2,33,36.53,36.53,4.98,10.047,67,,0.006,1561167805,1561216576,broken clouds,Clouds,04n
1560423549,6/13/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,45.81,996.1,14,45.81,45.81,5.85,340.347,67,,0.0044,1560389825,1560438659,broken clouds,Clouds,04d
1560427149,6/13/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,45.81,996.1,14,45.81,45.81,5.85,340.347,67,,0.005,1560389825,1560438659,broken clouds,Clouds,04d
1560430751,6/13/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,45.81,996.1,14,45.81,45.81,5.85,340.347,67,,0.006,1560389825,1560438659,broken clouds,Clouds,04d
1560607162,6/15/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,39.98,998.07,12,39.98,39.98,5.33,338.019,67,,0.0045,1560562635,1560611496,broken clouds,Clouds,04d
